Time,data
1739890823.7970974,0.25746217370033264
1739890823.8196347,0.06570544093847275
1739890823.8524528,0.08858338743448257
1739890823.8843932,0.074535071849823
1739890823.9206152,0.058099403977394104
1739890823.9602067,0.01655842736363411
1739890823.9951768,-0.012288257479667664
1739890824.0280232,-0.046687450259923935
1739890824.0471773,-0.06351187825202942
1739890824.083638,-0.14115308225154877
1739890824.1188695,-0.13701845705509186
1739890824.1469114,-0.18545475602149963
1739890824.1855626,-0.22982721030712128
1739890824.2248454,-0.263347864151001
1739890824.251725,-0.22768795490264893
1739890824.2930577,-0.26081526279449463
1739890824.3206987,-0.2678920328617096
1739890824.3658628,-0.27301025390625
1739890824.3894334,-0.29843685030937195
1739890824.4360042,-0.34152722358703613
1739890824.4603279,-0.5624141693115234
1739890824.4957316,-0.3960075080394745
1739890824.5243285,-0.2955254316329956
1739890824.551708,-0.27437636256217957
1739890824.57935,-0.24368341267108917
1739890824.6213145,-0.19962696731090546
1739890824.6502664,-0.14382420480251312
1739890824.679229,-0.087761789560318
1739890824.7130134,-0.027787616476416588
1739890824.751572,0.027331382036209106
1739890824.7862535,0.08625663816928864
1739890824.8169935,0.13248050212860107
1739890824.8514936,0.18547320365905762
1739890824.8808057,0.22135937213897705
1739890824.9170613,0.2506130635738373
1739890824.953083,0.2738703191280365
1739890824.9823625,0.2811394929885864
1739890825.0196202,0.2791055738925934
1739890825.052177,0.25925183296203613
1739890825.0821567,0.2402077168226242
1739890825.1152647,0.23528523743152618
1739890825.1480408,0.22733138501644135
1739890825.1855073,0.23405760526657104
1739890825.2180364,0.20245864987373352
1739890825.2569,0.17585128545761108
1739890825.2824013,0.1559450626373291
1739890825.3187308,0.13307343423366547
1739890825.3459415,0.091374970972538
1739890825.3844807,0.042404480278491974
1739890825.4215987,0.022305820137262344
1739890825.4487016,-0.025382252410054207
1739890825.4859943,-0.07648535817861557
1739890825.5166173,-0.11581049114465714
1739890825.5511277,-0.14707782864570618
1739890825.5910654,-0.17977377772331238
1739890825.6161444,-0.2539311647415161
1739890825.6570294,-0.27905920147895813
1739890825.6897492,-0.2955339848995209
1739890825.7224865,-0.2970721125602722
1739890825.7597153,-0.2874002158641815
1739890825.7822,-0.2681596577167511
1739890825.8162773,-0.2535000741481781
1739890825.850306,-0.23793438076972961
1739890825.883636,-0.20502202212810516
1739890825.9117792,-0.17101840674877167
1739890825.9592054,-0.12889276444911957
1739890825.9832556,-0.08061378449201584
1739890826.0114725,-0.02746879868209362
1739890826.049183,0.014470594935119152
1739890826.0803096,0.06394341588020325
1739890826.118258,0.1158808097243309
1739890826.154262,0.15356874465942383
1739890826.1833327,0.22299304604530334
1739890826.2168608,0.2676321566104889
1739890826.249268,0.2942587733268738
1739890826.2829735,0.3079952895641327
1739890826.3161788,0.31167420744895935
1739890826.3513837,0.3194931745529175
1739890826.3843844,0.3194931745529175
1739890826.416561,0.3194931745529175
1739890826.4537148,0.3194931745529175
1739890826.4834976,0.2875228524208069
1739890826.5198941,0.2875228524208069
1739890826.5459583,0.23818810284137726
1739890826.5789137,0.23818810284137726
1739890826.6116312,0.1988559514284134
1739890826.648841,0.1997142732143402
1739890826.6788166,0.10269762575626373
1739890826.7124307,0.05377226695418358
1739890826.7555618,-0.010364029556512833
1739890826.7832084,-0.07383314520120621
1739890826.830609,-0.13198348879814148
1739890826.8458502,-0.1893165111541748
1739890826.8833544,-0.23986881971359253
1739890826.9119792,-0.2745293974876404
1739890826.9561112,-0.30335018038749695
1739890826.9858541,-0.3198588490486145
1739890827.0244765,-0.3242475092411041
1739890827.0496821,-0.3205565810203552
1739890827.0831492,-0.31885045766830444
1739890827.1132135,-0.30890020728111267
1739890827.1487017,-0.3014581799507141
1739890827.1788077,-0.29760855436325073
1739890827.211713,-0.2533087134361267
1739890827.2495997,-0.20066234469413757
1739890827.2832332,-0.1789276897907257
1739890827.3125,-0.13811343908309937
1739890827.3590877,-0.08419119566679001
1739890827.3782609,-0.023962173610925674
1739890827.427123,0.03645281493663788
1739890827.4506,0.09200400859117508
1739890827.4789639,0.14781193435192108
1739890827.5165844,0.19720900058746338
1739890827.550074,0.23855555057525635
1739890827.579354,0.26894867420196533
1739890827.6163998,0.28749972581863403
1739890827.6496258,0.28749972581863403
1739890827.7062395,0.28749972581863403
1739890827.721828,0.25972825288772583
1739890827.7501783,0.30645647644996643
1739890827.7793078,0.2980945408344269
1739890827.816187,0.2980945408344269
1739890827.8507593,0.2980945408344269
1739890827.8850913,0.24701927602291107
1739890827.9166076,0.24701927602291107
1739890827.9532,0.24701927602291107
1739890827.9950814,0.13475733995437622
1739890828.016138,0.03641751408576965
1739890828.0480723,-0.05148309841752052
1739890828.0869145,-0.1158704087138176
1739890828.1164446,-0.17153066396713257
1739890828.1608179,-0.17153066396713257
1739890828.1830034,-0.17153066396713257
1739890828.2244732,-0.17153066396713257
1739890828.2522004,-0.17153066396713257
1739890828.2827132,-0.17153066396713257
1739890828.3131769,-0.460909366607666
1739890828.3453646,-0.4472801983356476
1739890828.3842537,-0.5204181671142578
1739890828.4161983,-0.5204181671142578
1739890828.4487576,-0.5204181671142578
1739890828.4824483,-0.5204181671142578
1739890828.520804,-0.29099366068840027
1739890828.5437372,-0.29099366068840027
1739890828.5862508,-0.29099366068840027
1739890828.6148539,-0.29099366068840027
1739890828.6470392,-0.29099366068840027
1739890828.6889138,-0.29099366068840027
1739890830.346682,-0.29099366068840027
1739890830.3910031,-0.523712158203125
1739890830.4230976,-0.45729878544807434
1739890830.4497664,-0.31135275959968567
1739890830.4803443,-0.3211003243923187
1739890830.5162046,-0.32771506905555725
1739890830.5460904,-0.2282191663980484
1739890830.584093,-0.2820416986942291
